"id","nombre"
1,"Desayuno"
2,"WI FI"
3,"Estacionamiento"
4,"Piscina"
5,"Aire Acondicionado"
6,"TV"
7,"Sauna"
8,"Restaurante"
9,"Gimnasio"
10,"Bar"
11,"SPA"
12,"Calefaccion"
