"id","nombre_restaurante","direccion","categoria","detalle"
"1","VILLA BONITA RESTAURANTE","Ruta 150 S/nro – San Rafael, Mendoza, Argentina.","3","Restaurante Villa Bonita se especializa en ""Cocina de Campo & Autor"" , se encuentra ubicado en un entorno de naturaleza y relax con un amplio jardín en donde podrá degustar de platos típicos de nuestra región como: Carne a la masa, humitas en chala, Chivo, Cordero, Truchas y demás exquisiteces, cuenta con cava de Vinos subterranea, para que cada cliente elija el vino que desea degustar."""
"2","BODEGA BOUTIQUE IBARRA","Cubillos 3550 – San Rafael, Mendoza, Argentina","0","Es una Bodega Familiar que dedica su energía y pasión a la elaboración de vinos con acento bien mendocino. Esta Bodega Boutique ensambla el placer de maridar vinos orgánicos con comidas típicas cuyanas.Apto para Vegetarianos.Almuerzo, Cena, Abierto hasta tarde.Reservas, Asiento, Acceso para silla de ruedas, Sirve alcohol, Servicio de mesa, Wi-Fi gratis"
"4","CHEZ GASTON RESTAURAT","RN 144 KM 674 Cuadro Venegas - San Rafael – Mendoza, Argentina","3","Chez Gaston cuenta con un tradicional horno de arcilla y un asador a la leña, especializado en la auténtica cocina gourmet argentina. Cada plato de nuestro menú de temporada se prepara con los ingredientes locales más frescos de nuestra plantación y de nuestros vecinos, incluyendo una variedad de frutas y verduras, aceite de oliva y otros elementos esenciales."
